insider,company
Kumud Neelima Family Trust,BAJAJFINSV
Neelima Bajaj Family Trust,BAJAJFINSV
Nimisha Bajaj Family Trust,BAJAJFINSV
Kumud Nimisha Family Trust,BAJAJFINSV
Nirav Trust,BAJAJFINSV
Kumud Bajaj,BAJAJFINSV
Late Madhur Bajaj,BAJAJFINSV
Bajaj Holdings & Investment Limited,BAJAJFINSV
Jamnalal Sons Private Limited,BAJAJFINSV
Manish Kejriwal,BAJAJFINSV
Late Sunaina Kejriwal,BAJAJFINSV
Bachhraj & Company Private Limited,BAJAJFINSV
Sheetal Bajaj,BAJAJFINSV
Sarita Prakash,BAJAJFINSV
Nirvaan Family Trust,BAJAJFINSV
Sunaina Kejriwal,BAJAJFINSV
Aryaman Family Trust,BAJAJFINSV
Bajaj Finserv ESOP Trust,BAJAJFINSV
Madhur Bajaj,BAJAJFINSV
Nimisha Jaipuria,BAJAJFINSV
Deepa Bajaj,BAJAJFINSV
Bachhraj and Company Private Limited,BAJAJFINSV
Rajivnayan Bajaj,BAJAJFINSV
Rishab Family Trust Rajivnayan Bajaj,BAJAJFINSV
Aryaman Family Trust Manish Kejriwal,BAJAJFINSV
Kamalnayan Investment & Trading Private Limited,BAJAJFINSV
Nirvaan Family Trust Sunaina Kejriwal,BAJAJFINSV
Madhur Securities Private Limited,BAJAJFINSV
Rupa Equities Private Limited,BAJAJFINSV
Rahul Securities Private Limited,BAJAJFINSV
Shekhar Holdings Private Limited,BAJAJFINSV
Niraj Bajaj,BAJAJFINSV
Bajaj Sevashram Private Limited,BAJAJFINSV
Madhur Bajaj (A/c Kumud Neelima Family Trust),BAJFINANCE
Neelima Bajaj Family Trust,BAJFINANCE
Nimisha Bajaj Family Trust,BAJFINANCE
Madhur Bajaj (A/c Kumud Nimisha Family Trust),BAJFINANCE
Bajaj Allianz General Insurance Co. Ltd.,BAJFINANCE
BFL EMPLOYEE WELFARE TRUST,BAJFINANCE
Kumud Bajaj,BAJFINANCE
Late Madhur Bajaj,BAJFINANCE
Amisha Jain,BAJFINANCE
RAJEEV JAIN,BAJFINANCE
Bajaj Allianz Life Insurance Co. Ltd.,BAJFINANCE
Pooja Kalani,BAJFINANCE
Bajaj Finserv Limited,BAJFINANCE
Maharashtra Scooters Limited,BAJFINANCE
BHARTI AIRTEL EMPLOYEES WELFARE TRUST,BHARTIARTL
Anusha Jain jointly with Dinesh Jain,CIPLA
Renu Jain jointly with Dinesh Jain,CIPLA
