acquirerName,acquirerDate,symbol,noOfShareAcq,noOfShareSale,noOfShareAft,regType,company,application_no,promoterType,acqSaleType,acquisitionMode,acqType,totAcqShare,totAcqDiluted,totSaleShare,totSaleDiluted,totAftShare,totAftDiluted,remarks,attachement,timestamp,time,sysTime,timeDifference
Shruti Shibulal,11-MAR-2025 to 12-MAR-2025,INFY,5968113,,8705651,Reg29(2),Infosys Limited,148010,Y,Acquisition,Open Market,Equity shares,0.14,.14,,,0.21,0.21,,https://nsearchives.nseindia.com/corporate/SAST_03132025125419_44722.zip,13-Mar-2025 12:54,"13-Mar-2025, 12-54",13-Mar-2025 12:54,00:00:04
Gaurav Manchanda,11-MAR-2025 to 12-MAR-2025,INFY,,5968113,5773233,Reg29(2),Infosys Limited,148013,Y,Sale,Open Market,Equity shares,,-,0.14,0.14,0.14,0.14,,https://nsearchives.nseindia.com/corporate/sast_03132025125324_44723.zip,13-Mar-2025 12:53,"13-Mar-2025, 12-53",13-Mar-2025 12:53,00:00:04
Shreyas Shibulal,11-MAR-2025 to 11-MAR-2025,INFY,703,,19929860,Reg29(2),Infosys Limited,148016,Y,Acquisition,Open Market,Equity shares,0,0,,,0.48,0.48,,https://nsearchives.nseindia.com/corporate/sast_03132025125227_44724.zip,13-Mar-2025 12:52,"13-Mar-2025, 12-52",13-Mar-2025 12:52,00:00:04
Bhairavi Madhusudhan Shibulal,24-JAN-2025 to 24-JAN-2025,INFY,8330,,5427875,Reg29(2),Infosys Limited,145115,Y,Acquisition,Others,Equity shares,0,0,,,0.13,0.13,,https://nsearchives.nseindia.com/corporate/infy1_01312025193847_43828.zip,31-Jan-2025 19:38,"31-Jan-2025, 19-38",31-Jan-2025 19:38,00:00:03
Shreyas Shibulal,24-JAN-2025 to 24-JAN-2025,INFY,,8330,19929157,Reg29(2),Infosys Limited,145112,Y,Sale,Others,Equity shares,,-,0,0,0.48,0.48,,https://nsearchives.nseindia.com/corporate/infy_01312025193753_43827.zip,31-Jan-2025 19:37,"31-Jan-2025, 19-37",31-Jan-2025 19:37,00:00:05
Nikita Shibulal Manchanda,11-SEP-2024 to 11-SEP-2024,INFY,,407087,6106302,Reg29(2),Infosys Limited,139085,Y,Sale,Open Market,Equity shares,,-,0.01,0.01,0.15,0.15,,https://nsearchives.nseindia.com/corporate/Nikita_09132024121127_42120.zip,13-Sep-2024 12:11,"13-Sep-2024, 12-11",13-Sep-2024 12:11,00:00:04
Milan Shibulal Manchanda,11-SEP-2024 to 11-SEP-2024,INFY,,407087,6106302,Reg29(2),Infosys Limited,139082,Y,Sale,Open Market,Equity shares,,-,0.01,0.1,0.15,0.15,,https://nsearchives.nseindia.com/corporate/Milan_09132024120831_42119.zip,13-Sep-2024 12:08,"13-Sep-2024, 12-08",13-Sep-2024 12:08,00:00:04
Gaurav Manchanda,11-SEP-2024 to 12-SEP-2024,INFY,,782760,11741346,Reg29(2),Infosys Limited,139079,Y,Sale,Open Market,Equity shares,,-,0.02,0.02,0.28,0.28,,https://nsearchives.nseindia.com/corporate/SAST_09132024115638_42118.zip,13-Sep-2024 11:56,"13-Sep-2024, 11-56",13-Sep-2024 11:56,00:00:04
Bhairavi Madhusudhan Shibulal,09-SEP-2024 to 09-SEP-2024,INFY,,240869,5419545,Reg29(2),Infosys Limited,138833,Y,Sale,Open Market,Equity shares,,-,0.01,0.01,0.13,0.13,,https://nsearchives.nseindia.com/corporate/INFYBHAIRAVI_09102024194615_42045.zip,10-Sep-2024 19:46,"10-Sep-2024, 19-46",10-Sep-2024 19:46,00:00:03
Shreyas Shibulal,09-SEP-2024 to 09-SEP-2024,INFY,,1386028,19937487,Reg29(2),Infosys Limited,138836,Y,Sale,Open Market,Equity shares,,-,0.03,0.03,0.48,0.48,,https://nsearchives.nseindia.com/corporate/INFYSHREYA_09102024194523_42046.zip,10-Sep-2024 19:45,"10-Sep-2024, 19-45",10-Sep-2024 19:45,00:00:04
Bhairavi Madhusudhan Shibulal,15-MAY-2024 to 15-MAY-2024,INFY,,361302,5660414,Reg29(2),Infosys Limited,132663,Y,Sale,Open Market,Equity shares,,-,0.01,0.01,0.14,0.14,,https://nsearchives.nseindia.com/corporate/INFY_05162024123221_40269.zip,16-May-2024 12:32,"16-May-2024, 12-32",16-May-2024 12:34,00:01:42
