acquirerName,acquirerDate,symbol,noOfShareAcq,noOfShareSale,noOfShareAft,regType,company,application_no,promoterType,acqSaleType,acquisitionMode,acqType,totAcqShare,totAcqDiluted,totSaleShare,totSaleDiluted,totAftShare,totAftDiluted,remarks,attachement,timestamp,time,sysTime,timeDifference
Azim Premji Trust,09-JUN-2025 to 11-JUN-2025,WIPRO,,382800000,680385966,Reg29(2),Wipro Limited,152141,Y,Sale,Inter-se transfer,Equity shares,,-,3.66,3.66,6.5,6.5,,https://nsearchives.nseindia.com/corporate/WIPRO1_06172025153247_45956.zip,17-Jun-2025 15:32,"17-Jun-2025, 15-32",17-Jun-2025 15:32,00:00:05
Pramiz Traders,09-JUN-2025 to 11-JUN-2025,WIPRO,119000000,,2160297946,Reg29(2),Wipro Limited,152147,Y,Acquisition,Inter-se transfer,Equity shares,1.14,1.14,,,20.63,20.63,,https://nsearchives.nseindia.com/corporate/WIPRO3_06172025153200_45958.zip,17-Jun-2025 15:32,"17-Jun-2025, 15-32",17-Jun-2025 15:32,00:00:05
Mr. Azim Hasham Premji Partner Representing Hasham Traders,09-JUN-2025 to 09-JUN-2025,WIPRO,119000000,,1886826730,Reg29(2),Wipro Limited,152144,Y,Acquisition,Inter-se transfer,Equity shares,1.14,1.14,,,18.02,18.02,,https://nsearchives.nseindia.com/corporate/WIPRO2_06172025153111_45957.zip,17-Jun-2025 15:31,"17-Jun-2025, 15-31",17-Jun-2025 15:31,00:00:04
Prazim Trading And Investment Company Private Limited,09-JUN-2025 to 09-JUN-2025,WIPRO,23800000,,193708256,Reg29(2),Wipro Limited,152150,Y,Acquisition,Inter-se transfer,Equity shares,0.23,.23,,,1.85,1.85,,https://nsearchives.nseindia.com/corporate/WIPRO4_06172025153017_45959.zip,17-Jun-2025 15:30,"17-Jun-2025, 15-30",17-Jun-2025 15:30,00:00:04
Mr. Azim Hasham Premji Partner  Representing Zash Traders,11-JUN-2025 to 11-JUN-2025,WIPRO,121000000,,2202133582,Reg29(2),Wipro Limited,152138,Y,Acquisition,Inter-se transfer,Equity shares,1.16,1.16,,,21.03,21.03,,https://nsearchives.nseindia.com/corporate/WIPRO_06172025152931_45955.zip,17-Jun-2025 15:29,"17-Jun-2025, 15-29",17-Jun-2025 15:29,00:00:04
Prazim Trading and Investment Company Private Ltd,08-NOV-2024 to 08-NOV-2024,WIPRO,84954128,,84954128,Reg29(2),Wipro Limited,141334,Y,Acquisition,Inter-se transfer,Equity shares,1.62,1.62,,,1.62,1.62,,https://nsearchives.nseindia.com/corporate/WIPRO_11082024185407_42768.zip,08-Nov-2024 18:54,"08-Nov-2024, 18-54",08-Nov-2024 18:54,00:00:03
Prazim Traders,08-NOV-2024 to 08-NOV-2024,WIPRO,,44954128,1020648973,Reg29(2),Wipro Limited,141331,Y,Sale,Inter-se transfer,Equity shares,,-,0.86,0.86,19.51,19.51,,https://nsearchives.nseindia.com/corporate/WIPRO_11082024184822_42767.zip,08-Nov-2024 18:48,"08-Nov-2024, 18-48",08-Nov-2024 18:48,00:00:03
Zash Traders,08-NOV-2024 to 08-NOV-2024,WIPRO,,40000000,1040566791,Reg29(2),Wipro Limited,141328,Y,Sale,Inter-se transfer,Equity shares,,-,0.76,0.76,19.89,19.89,,https://nsearchives.nseindia.com/corporate/WIPRO_11082024184730_42766.zip,08-Nov-2024 18:47,"08-Nov-2024, 18-47",08-Nov-2024 18:47,00:00:04
Rishad Azim Premji alongwith PAC,20-JAN-2024 to 20-JAN-2024,WIPRO,5115090,,6768891,Reg29(2),Wipro Limited,127651,Y,Acquisition,Others,Equity shares,0.1,.1,,,0.13,0.13,,https://nsearchives.nseindia.com/corporate/Rishad_01232024174401_1.zip,23-Jan-2024 17:44,"23-Jan-2024, 17-44",23-Jan-2024 17:48,00:04:00
Tariq Azim Premji alongwith PAC,20-JAN-2024 to 20-JAN-2024,WIPRO,5115090,,6619215,Reg29(2),Wipro Limited,127645,Y,Acquisition,Others,Equity shares,0.1,.1,,,0.13,0.13,,https://nsearchives.nseindia.com/corporate/Tariq_01232024130801_2.zip,23-Jan-2024 13:08,"23-Jan-2024, 13-08",23-Jan-2024 13:10,00:02:00
Azim Hasham Premji alongwith PAC,20-JAN-2024 to 20-JAN-2024,WIPRO,,10230180,215578357,Reg29(2),Wipro Limited,127648,Y,Sale,Others,Equity shares,,-,0.2,0.2,4.12,4.12,,https://nsearchives.nseindia.com/corporate/Azim_01232024130802_3.zip,23-Jan-2024 13:08,"23-Jan-2024, 13-08",23-Jan-2024 13:10,00:02:00
