acquirerName,acquirerDate,symbol,noOfShareAcq,noOfShareSale,noOfShareAft,regType,company,application_no,promoterType,acqSaleType,acquisitionMode,acqType,totAcqShare,totAcqDiluted,totSaleShare,totSaleDiluted,totAftShare,totAftDiluted,remarks,attachement,timestamp,time,sysTime,timeDifference
Rakesh Gangwal,28-AUG-2025 to 28-AUG-2025,INDIGO,,756000.0,17530493,Reg29(2),InterGlobe Aviation Limited,156288,Y,Sale,Others,Equity shares,,-,0.2,0.2,4.54,4.54,,https://nsearchives.nseindia.com/corporate/INDIGO_08292025205731_47185.zip,29-Aug-2025 20:57,"29-Aug-2025, 20-57",29-Aug-2025 20:57,00:00:05
The Chinkerpoo Family Trust,28-AUG-2025 to 28-AUG-2025,INDIGO,,6804000.0,5106413,Reg29(2),InterGlobe Aviation Limited,156291,Y,Sale,Others,Equity shares,,-,1.76,1.76,1.32,1.32,,https://nsearchives.nseindia.com/corporate/INDIGO29_08292025205501_47186.zip,29-Aug-2025 20:55,"29-Aug-2025, 20-55",29-Aug-2025 20:55,00:00:05
The Chinkerpoo Family Trust (Trustee: Shobha Gangwal & J.P. Morgan Trust Company of Delaware),27-MAY-2025 to 27-MAY-2025,INDIGO,,19890000.0,11910413,Reg29(2),InterGlobe Aviation Limited,151184,Y,Sale,Others,Equity shares,,-,5.15,5.15,3.08,3.08,,https://nsearchives.nseindia.com/corporate/CFT_05282025122649_45679.zip,28-May-2025 12:26,"28-May-2025, 12-26",28-May-2025 12:26,00:00:03
Mr. Rakesh Gangwal,27-MAY-2025 to 27-MAY-2025,INDIGO,,2210000.0,18286493,Reg29(2),InterGlobe Aviation Limited,151181,Y,Sale,Others,Equity shares,,-,0.57,0.57,4.73,4.73,,https://nsearchives.nseindia.com/corporate/RG_05282025122217_45678.zip,28-May-2025 12:22,"28-May-2025, 12-22",28-May-2025 12:22,00:00:04
GIC Private Limited on account of  Monetary Authority of Singapore (MAS),12-DEC-2024 to 12-DEC-2024,INDIGO,10556.0,,3500432,Reg29(1),InterGlobe Aviation Limited,143151,N,Acquisition,Open Market,Equity shares,0.0,0,,,0.9,0.9,,https://nsearchives.nseindia.com/corporate/Interglobe_12172024203612_43279.zip,17-Dec-2024 20:36,"17-Dec-2024, 20-36",17-Dec-2024 20:36,00:00:04
GIC Private Ltd on account of Government of Singapore (GOS),12-DEC-2024 to 12-DEC-2024,INDIGO,34904.0,,15823097,Reg29(1),InterGlobe Aviation Limited,143150,N,Acquisition,Open Market,Equity shares,0.01,.01,,,4.1,4.1,,https://nsearchives.nseindia.com/corporate/Interglobe_12172024203612_43279.zip,17-Dec-2024 20:36,"17-Dec-2024, 20-36",17-Dec-2024 20:36,00:00:04
The Chinkerpoo Family Trust (Trustee: Shobha Gangwal & J.P. Morgan Trust Company of Delaware) alongwith PAC,29-AUG-2024 to 29-AUG-2024,INDIGO,,20250000.0,31800413,Reg29(2),InterGlobe Aviation Limited,138241,Y,Sale,Others,Equity shares,,-,5.25,5.25,8.24,8.24,,https://nsearchives.nseindia.com/corporate/Regulation6_09022024142035_41871.zip,02-Sep-2024 14:20,"02-Sep-2024, 14-20",02-Sep-2024 14:20,00:00:04
Mr. Rakesh Gangwal alongwith PAC,29-AUG-2024 to 29-AUG-2024,INDIGO,,2250000.0,20496493,Reg29(2),InterGlobe Aviation Limited,138240,Y,Sale,Others,Equity shares,,-,0.58,0.58,5.31,5.31,,https://nsearchives.nseindia.com/corporate/Regulation6_09022024142035_41871.zip,02-Sep-2024 14:20,"02-Sep-2024, 14-20",02-Sep-2024 14:20,00:00:04
The Chinkerpoo Family trust,29-AUG-2024 to 29-AUG-2024,INDIGO,,20250000.0,31800413,Reg29(2),InterGlobe Aviation Limited,138085,Y,Sale,Others,Equity shares,,-,5.25,5.25,8.24,8.24,,https://nsearchives.nseindia.com/corporate/INDIGO_08302024184624_41825.zip,30-Aug-2024 18:46,"30-Aug-2024, 18-46",30-Aug-2024 18:46,00:00:04
Rakesh Gangwal,29-AUG-2024 to 29-AUG-2024,INDIGO,,2250000.0,20496493,Reg29(2),InterGlobe Aviation Limited,138082,Y,Sale,Others,Equity shares,,-,0.58,0.58,5.31,5.31,,https://nsearchives.nseindia.com/corporate/INDIGO_08302024184538_41824.zip,30-Aug-2024 18:45,"30-Aug-2024, 18-45",30-Aug-2024 18:45,00:00:03
