acquirerName,acquirerDate,symbol,noOfShareAcq,noOfShareSale,noOfShareAft,regType,company,application_no,promoterType,acqSaleType,acquisitionMode,acqType,totAcqShare,totAcqDiluted,totSaleShare,totSaleDiluted,totAftShare,totAftDiluted,remarks,attachement,timestamp,time,sysTime,timeDifference
Jamnagar Utilities & Power Private Limited,03-SEP-2025 to 03-SEP-2025,JIOFIN,250000000.0,,250000000,Reg29(2),Jio Financial Services Limited,156792,Y,Acquisition,Preferential Allotment,Warrant,0.0,3.65,,,0.0,3.65,,https://nsearchives.nseindia.com/corporate/JIOFIN_09082025123043_47309.zip,08-Sep-2025 12:30,"08-Sep-2025, 12-30",08-Sep-2025 12:30,00:00:03
Jamnagar Utilities & Power Private Limited,03-SEP-2025 to 03-SEP-2025,JIOFIN,0.0,,128464144,Reg29(2),Jio Financial Services Limited,156790,Y,Acquisition,Preferential Allotment,Equity shares,0.0,0,,,2.02,1.88,,https://nsearchives.nseindia.com/corporate/JIOFIN_09082025123043_47309.zip,08-Sep-2025 12:30,"08-Sep-2025, 12-30",08-Sep-2025 12:30,00:00:03
Sikka Ports & Terminals Ltd,03-SEP-2025 to 03-SEP-2025,JIOFIN,250000000.0,,250000000,Reg29(2),Jio Financial Services Limited,156791,Y,Acquisition,Preferential Allotment,Warrant,0.0,3.65,,,0.0,3.65,,https://nsearchives.nseindia.com/corporate/JIOFIN_09082025123043_47309.zip,08-Sep-2025 12:30,"08-Sep-2025, 12-30",08-Sep-2025 12:30,00:00:03
Sikka Ports & Terminals Ltd,03-SEP-2025 to 03-SEP-2025,JIOFIN,0.0,,68500000,Reg29(2),Jio Financial Services Limited,156789,Y,Acquisition,Preferential Allotment,Equity shares,0.0,0,,,1.08,1.0,,https://nsearchives.nseindia.com/corporate/JIOFIN_09082025123043_47309.zip,08-Sep-2025 12:30,"08-Sep-2025, 12-30",08-Sep-2025 12:30,00:00:03
Reliance Industries Holding Private Limited,26-SEP-2024 to 26-SEP-2024,JIOFIN,,13000000.0,191014856,Reg29(2),Jio Financial Services Limited,140118,Y,Sale,Others,Equity shares,,-,0.2,0.2,3.0,3.0,,https://nsearchives.nseindia.com/corporate/RIHPL_09302024181355_42421.zip,30-Sep-2024 18:13,"30-Sep-2024, 18-13",30-Sep-2024 18:13,00:00:03
Jamnagar Utilities & Power Private Limited,26-SEP-2024 to 26-SEP-2024,JIOFIN,13000000.0,,128464144,Reg29(2),Jio Financial Services Limited,140121,Y,Acquisition,Others,Equity shares,0.2,.2,,,2.02,2.02,,https://nsearchives.nseindia.com/corporate/JUPL_09302024181258_42422.zip,30-Sep-2024 18:12,"30-Sep-2024, 18-12",30-Sep-2024 18:13,00:00:03
Reliance Industries Holding Private Limited,13-MAR-2024 to 13-MAR-2024,JIOFIN,,100000000.0,204014856,Reg29(2),Jio Financial Services Limited,130336,Y,Sale,Others,Equity shares,,-,1.57,1.57,3.21,3.21,,https://nsearchives.nseindia.com/corporate/JIOFIN1_03142024185802_1.zip,14-Mar-2024 18:58,"14-Mar-2024, 18-58",14-Mar-2024 19:02,00:03:59
Jamnagar Utilities & Power PVt Ltd,13-MAR-2024 to 13-MAR-2024,JIOFIN,70000000.0,,115464144,Reg29(2),Jio Financial Services Limited,130333,Y,Acquisition,Others,Equity shares,1.1,1.01,,,1.82,1.82,,https://nsearchives.nseindia.com/corporate/JIOFIN_03142024185602_1.zip,14-Mar-2024 18:56,"14-Mar-2024, 18-56",14-Mar-2024 19:00,00:04:01
Sikka Ports & Terminals Ltd,13-MAR-2024 to 13-MAR-2024,JIOFIN,30000000.0,,68500000,Reg29(2),Jio Financial Services Limited,130332,Y,Acquisition,Others,Equity shares,0.47,.47,,,1.08,1.08,,https://nsearchives.nseindia.com/corporate/JIOFIN_03142024185602_1.zip,14-Mar-2024 18:56,"14-Mar-2024, 18-56",14-Mar-2024 19:00,00:04:01
SBICAP Trustee Company Ltd,08-DEC-2023 to 08-DEC-2023,JIOFIN,,5500.0,0,Reg29(2),Jio Financial Services Limited,125389,N,Sale,Others,Equity shares,,-,0.0,0.0,0.0,0.0,,https://nsearchives.nseindia.com/corporate/JIOFIN_12122023200802_2.zip,12-Dec-2023 20:08,"12-Dec-2023, 20-08",12-Dec-2023 20:12,00:04:00
