Stock,TranAD_Score,GraphSAGE_Anomaly,MTAD_Anomaly,Net_Sentiment,TRANAD_Scaled,GraphSAGE_Scaled,MTAD_Scaled,FinBERT_Risk,Suspicious_Score,TRANAD_Scaled_SHAP,GraphSAGE_Scaled_SHAP,MTAD_Scaled_SHAP,FinBERT_Risk_SHAP,Total_SHAP_Impact,TRANAD_Scaled_Contribution%,GraphSAGE_Scaled_Contribution%,MTAD_Scaled_Contribution%,FinBERT_Risk_Contribution%
BHARTIARTL,0.5063089479625847,0.6330161068849309,0.098254012400781,-0.741526156218228,0.5340909090909091,0.6330161068849309,0.6983603304554644,0.8843965520115339,0.6606488813868747,0.39841156702317876,0.0932088579164438,0.08860008588032915,0.024985377197901046,0.6052058880178528,65.83074866109467,15.401181608083473,14.639660260165144,4.128409470656705
BAJFINANCE,0.5063089479625847,0.8672014746565907,0.0667222285111403,-0.6699861174115276,0.5340909090909091,0.8672014746565907,0.4742417781545436,0.8080477720437521,0.6405073406443462,0.3697865149154303,0.11979378200328897,0.07568703612075627,0.019805545062117142,0.5850728781015927,63.20349630891968,20.47501883730933,12.936343309288368,3.385141544482615
SHRIRAMFIN,0.5063089479625847,0.6852433309449851,0.0691355676045199,-0.6245298746141462,0.5340909090909091,0.6852433309449851,0.4913950754659953,0.7595360751340451,0.5928870393734244,0.3721374468127399,0.10073529711138425,0.06277043844240586,0.0009301417807692676,0.5365733241472992,69.35444422328035,18.773817589882754,11.698389692062706,0.1733484947742066
HDFCBANK,0.5063089479625847,0.6702318895505781,0.0734830606528609,-0.5806612679164476,0.5340909090909091,0.6702318895505781,0.522295764483232,0.7127187312225396,0.5913817841432678,0.3719327942061069,0.10052203821246035,0.06275300345550353,0.0007635603266727762,0.5359713962007436,69.39414991967269,18.755112478952263,11.708274713973712,0.14246288740132523
HINDUNILVR,0.5063089479625847,1.0,0.0742119082614088,0.087167683789645,0.5340909090909091,1.0,0.5274761967558702,0.0,0.5684701317540337,0.3361168734248731,0.12529110637242274,0.06979336628349729,-0.018160589150551645,0.5493619352313448,61.1831384501238,22.806659569462294,12.70444160899248,3.3057603714214276
KOTAKBANK,0.5063089479625847,0.7509375627183478,0.0598257597712741,-0.4862517453574533,0.5340909090909091,0.7509375627183478,0.4252237271816913,0.6119632384250591,0.5673232673251258,0.3443454114822144,0.11959339021818177,0.05719200900109377,-0.009186037595713847,0.5303168482972038,64.9320142454222,22.551308826446792,10.784497830821667,1.73217909730934
TITAN,0.5063089479625847,0.6852433309449851,0.0627594512011068,-0.4653047160154102,0.5340909090909091,0.6852433309449851,0.4460755343123286,0.5896082025473803,0.5538019961393247,0.3657048812879681,0.09740032906879517,0.06174362574047096,-0.009450947130255452,0.5342997832274896,68.44563534705036,18.229528090099354,11.555989292659378,1.7688472701909197
LT,0.5063089479625847,0.7659445028999137,0.050613747190411,-0.3300718748577606,0.5340909090909091,0.7659445028999137,0.3597474784979244,0.4452853505307509,0.5264304445812411,0.303644208839946,0.11060300155398242,0.01905438745748754,-0.0020493656475842415,0.4353509634990002,69.74699364381752,25.4054799063828,4.3767877080927375,0.4707387417069419
RELIANCE,0.5063089479625847,0.6852433309449851,0.0409053846974456,-0.5733294764862733,0.5340909090909091,0.6852433309449851,0.2907433220965227,0.7048941152451211,0.524495219379244,0.33704128791030274,0.10101946987330158,0.01790075974085295,0.013079750777871275,0.4690412683023285,71.85749116068334,21.537437470893877,3.8164573035638973,2.788614064858894
DRREDDY,0.5063089479625847,0.7579867154428723,0.0516044007031634,-0.2449280363197605,0.5340909090909091,0.7579867154428723,0.3667887493593181,0.354418357688957,0.5129233300491298,0.3133339901039112,0.11967727782933099,0.024893034171664784,-0.00043962871938520317,0.45834393082429215,68.36219900204787,26.11080234314474,5.431081879255345,0.09591677555205515
