symbol,publishedAt,title,description,sentiment,neg,neu,pos,url
HINDALCO,2025-10-31T00:33:46Z,Nifty Metal's Record Run Tests Valuation Limits As Rally Stretches,"The Nifty Metal Index has gained 24% in 2025, making it the best-performing NSE sector so far this year. The rally was driven by Hindalco Industries, Tata Steel, JSW Steel and Hindustan Copper. However, the index’s current price-to-earnings ratio of 21.72 is …",neutral,6.3502426e-08,0.99999964,2.355076e-07,https://www.ndtvprofit.com/markets/nifty-metal-index-2025-hindalco-tata-steel-jsw-steel-valuations-buy-sell-hold
HINDALCO,2025-10-30T13:15:33Z,"Larsen & Toubro, Hindalco among 11 stocks that hit 52-week highs and gained up to 22% in a month","On Thursday, the benchmark Sensex dropped about 593 points, closing at 84,404. Despite the market decline, 11 stocks from the BSE 100 Index reached their 52-week highs — their highest levels in a year. These breakouts are often viewed by traders and investors…",negative,0.55833393,0.40733406,0.03433207,https://m.economictimes.com/markets/stocks/news/larsen-amp-toubro-hindalco-among-11-stocks-that-hit-52-week-highs-and-gained-up-to-22-in-a-month/new-tops/slideshow/124955198.cms
HINDALCO,2025-10-30T12:11:18Z,"Markets sink on Fed’s hawkish tone, Sensex drops 593 points","The Sensex falls 592.67 points or 0.70% to settle at 84,404.46, while the Nifty 50 declines 176.05 points or 0.68% to 25,877.85",negative,0.9970017,7.227012e-05,0.0029260514,https://www.thehindubusinessline.com/markets/markets-sink-on-feds-hawkish-tone-sensex-drops-593-points/article70221072.ece
HINDALCO,2025-10-28T08:50:37Z,"Nifty consolidates between 25,700–26,100; Tata Steel, IIFL among top picks: Vinay Rajani","Indian markets experienced a volatile trading session. The Nifty index is currently consolidating between 25,700 and 26,104. Analysts suggest a cautious approach, focusing on outperforming sectors like metals and PSU banks. Specific stock recommendations incl…",negative,0.9364229,1.2886376e-06,0.063575834,https://economictimes.indiatimes.com/markets/expert-view/nifty-consolidates-between-2570026100-tata-steel-iifl-among-top-picks-vinay-rajani/articleshow/124869181.cms
HINDALCO,2025-10-28T07:35:27Z,"Profit booking weighs on markets: Nifty falls 215 pts intraday, metals buck the trend","Top gainers & losers today: Tata Steel, SBI Life, JSW Steel and Hindalco lead NIfty 50 pack. Bajaj twins, Tech Mahindra and ICICI Bank drag.",positive,0.0002701911,9.134443e-06,0.99972063,https://www.thehindubusinessline.com/markets/stock-markets/profit-booking-weighs-on-markets-nifty-falls-215-pts-intraday-metals-buck-the-trend/article70211529.ece
HINDALCO,2025-10-28T07:01:45Z,Five forces behind the 5-day rally in metal stocks. Is this a short-term rush or dawn of a metal supercycle?,"Metal stocks extended their rally, lifting the Nifty Metal Index for a fifth consecutive session amid strong global prices, renewed foreign inflows, and bullish technical signals. Analysts cite resilient domestic demand, policy support, and company-specific u…",neutral,1.1102734e-08,0.9999999,6.849116e-08,https://economictimes.indiatimes.com/markets/stocks/news/five-forces-behind-the-5-day-rally-in-metal-stocks-is-this-a-short-term-rush-or-dawn-of-a-metal-supercycle/articleshow/124867030.cms
HINDALCO,2025-10-28T06:04:23Z,"Hindalco, Vedanta shares jump up to 2% on strong volumes; metal index advances over 1%","Hindalco and Vedanta shares rose up to 2% on Tuesday as metal stocks rallied. The Nifty Metal Index gained 1.1% to 10,582, driven by strong volumes and positive sentiment in the steel sector.",neutral,3.3054768e-09,1.0,3.6891927e-09,https://economictimes.indiatimes.com/markets/stocks/news/hindalco-vedanta-shares-jump-up-to-2-on-strong-volumes-metal-index-advances-over-1/articleshow/124865602.cms
HINDALCO,2025-10-28T04:47:54Z,Markets open flat as traders eye Trump-Xi summit ahead of F&O expiry,Markets opened flat as traders remain cautious ahead of the Trump-Xi summit and October F&O expiry amid trade deal uncertainties.,negative,0.9967399,7.704e-05,0.0031830997,https://www.thehindubusinessline.com/markets/stock-markets/markets-open-flat-as-traders-eye-trump-xi-summit-ahead-of-fo-expiry/article70211116.ece
HINDALCO,2025-10-27T16:40:14Z,Market Trading Guide: Hindalco among 3 stocks to buy on Tuesday for up to 13% returns,"Indian equities are seeing renewed momentum as traders look for fresh breakouts and rotation plays in metals, IT, and financials. Here are three technical picks with near-term upside potential, according to Axis Securities and Bonanza Portfolio analysts. Stoc…",neutral,3.49782e-07,0.99999964,1.3040113e-08,https://m.economictimes.com/markets/stocks/news/market-trading-guide-hindalco-among-3-stocks-to-buy-on-tuesday-for-up-to-13-returns/stock-ideas/slideshow/124853896.cms
HINDALCO,2025-10-27T10:52:01Z,Hindalco shares hit 52-week high on EMMRL acquisition agreement,"Under the agreement, Hindalco will acquire 100% shareholding in EMMRL, which is expected to become its wholly-owned subsidiary upon completion",negative,0.99996006,3.874525e-05,1.2434891e-06,https://www.thehindubusinessline.com/markets/hindalco-shares-hit-52-week-high-on-emmrl-acquisition-agreement/article70208119.ece
