symbol,publishedAt,title,description,sentiment,neg,neu,pos,url
ONGC,2025-10-31T00:57:00Z,"Day Trading Guide for October 31, 2025: Intraday supports, resistances for Nifty50 stocks","The Day Trading Guide provides key intraday support and resistance levels to watch for on Nifty Futures and widely traded stocks such as Reliance Industries, ONGC, Infosys, TCS, HDFC Bank, SBI and ITC",negative,0.9999933,2.6678847e-06,4.103864e-06,https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-october-31/article70220956.ece
ONGC,2025-10-30T22:22:42Z,"Building a Safer, Smarter Future for NFPs Through Technology Integration",Not for profit and purpose-driven organisations face very trying circumstances.,neutral,0.0009258457,0.9982546,0.0008196076,https://www.itnews.com.au/feature/building-a-safer-smarter-future-for-nfps-through-technology-integration-621193
ONGC,2025-10-30T00:30:00Z,"Day Trading Guide for October 30, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI",negative,0.9999883,7.046012e-06,4.6403093e-06,https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-october-30/article70216906.ece
ONGC,2025-10-29T11:20:04Z,"Senex, Nifty 50 rebound on trade deal optimism and US Fed rate cut hopes; metals, oil & gas stocks shine","Top gainers & losers today 29th Oct: NTPC, Adani Ports, ONGC, Power Grid, JSW Steel and Adani Enterprises lead gainers of Nifty 50, while Dr Reddy’s Laboratories, Coal India, Bharat Electronics, Eternal and M&M dragged the most.",positive,0.0011225345,0.373531,0.6253464,https://www.thehindubusinessline.com/markets/stock-markets/top-gainers-amp-losers-today-29th-oct-senex-nifty-50-rebound-on-trade-deal-optimism-and-us-fed-rate-cut-hopes-metals-oil-amp-gas-stocks-shine/article70216618.ece
ONGC,2025-10-29T02:48:58Z,Adani Total Gas shares in focus as Q2 PAT declines 9% YoY to Rs 162 crore,"Adani Total Gas saw its net profit drop by 9 percent year-on-year for the September 2025 quarter. Higher input gas prices significantly impacted earnings. Despite this, the company achieved strong revenue growth of 19 percent. Volumes for compressed natural g…",positive,0.0001909637,0.0001848564,0.99962413,https://economictimes.indiatimes.com/markets/stocks/news/adani-total-gas-shares-in-focus-as-q2-pat-declines-9-yoy-to-rs-162-crore/articleshow/124887342.cms
ONGC,2025-10-28T14:25:26Z,Adani Total Gas Q2 Results: Net profit falls 9% to Rs 162 crore on higher gas cost,"Adani Total Gas Ltd, the city gas joint venture between Adani Group and TotalEnergies of France, on Tuesday reported a 9 per cent fall in its September quarter net profit on a rise in input gas prices.",positive,6.257155e-06,6.663517e-07,0.9999931,https://economictimes.indiatimes.com/markets/stocks/earnings/adani-total-gas-q2-results-net-profit-falls-9-to-rs-162-crore-on-higher-gas-cost/articleshow/124875989.cms
ONGC,2025-10-28T11:36:50Z,Metal rally lifts markets as PSU Banks surge on FII cap hike reports,"BSE Sensex drops 150.68 points or 0.18% to 84,628.16, while Nifty 50 falls 29.85 points or 0.11% to 25,936.20",neutral,0.001402257,0.9982597,0.00033803904,https://www.thehindubusinessline.com/markets/stock-markets/metal-rally-lifts-markets-as-psu-banks-surge-on-fii-cap-hike-reports/article70212256.ece
ONGC,2025-10-28T10:00:53Z,Sercel secures contract from ONGC for 528 seismic systems,ONGC plans to use the systems for oil and gas exploration across challenging terrains in India during the 2026 acquisition season.,negative,0.9999609,3.0882184e-05,8.203513e-06,https://www.offshore-technology.com/news/sercel-ongc-contract-for-528-systems/
ONGC,2025-10-28T03:30:02Z,"Mazagon Dock shares in focus as Q2 PAT jumps 28% YoY, revenue rises 6%","Shares of Mazagon Dock Shipbuilders (MDL) may stay in focus after the firm posted a 28% YoY jump in consolidated PAT to Rs 749 crore for Q2FY26, compared with Rs 585 crore last year. Revenue from operations rose 6% YoY to Rs 2,929 crore and 11.5% sequentially…",neutral,1.0447757e-05,0.99998915,3.1767658e-07,https://economictimes.indiatimes.com/markets/stocks/news/mazagon-dock-shares-in-focus-as-q2-pat-jumps-28-yoy-revenue-rises-6/articleshow/124863103.cms
ONGC,2025-10-27T19:01:35Z,LNG terminals may need to raise storage 10%,India is set to require LNG import terminals to build ten percent extra storage. This capacity will be available for the government during supply or price shocks. The move aims to create a cost-effective emergency gas reserve. This leverages existing infrastr…,negative,0.9823168,0.017575877,0.000107401225,https://economictimes.indiatimes.com/industry/energy/oil-gas/lng-terminals-may-need-to-raise-storage-10/articleshow/124857251.cms
