symbol,publishedAt,title,description,sentiment,neg,neu,pos,url
TCS,2025-10-31T02:55:59Z,The TCS New York City Marathon: Everything You Need To Know,One of the world's biggest and best marathons will take flight on Sunday across the five boroughs of New York City. Here's what you need to know.,negative,0.99982446,0.00014611149,2.946739e-05,https://www.forbes.com/sites/corymull/2025/10/30/the-tcs-new-york-city-marathon-everything-you-need-to-know/
TCS,2025-10-31T02:16:20Z,"Reliance, HDFC Bank, TCS, Tata Motors, Orchid Pharma, MTAR Tech, LTI Mindtree in focus today: Oct 31, 2025","Key updates on Reliance, HDFC Bank, TCS, and more, highlighting strategic partnerships, order wins, and company developments on October 31, 2025.",negative,0.99981755,0.00018179044,6.615559e-07,https://www.thehindubusinessline.com/markets/reliance-hdfc-bank-tcs-tata-motors-orchid-pharma-mtar-tech-lti-mindtree-in-focus-today-oct-31-2025/article70222668.ece
TCS,2025-10-31T00:57:00Z,"Day Trading Guide for October 31, 2025: Intraday supports, resistances for Nifty50 stocks","The Day Trading Guide provides key intraday support and resistance levels to watch for on Nifty Futures and widely traded stocks such as Reliance Industries, ONGC, Infosys, TCS, HDFC Bank, SBI and ITC",negative,0.9999933,2.6678847e-06,4.103864e-06,https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-october-31/article70220956.ece
TCS,2025-10-31T00:00:00Z,Surface mechanics and compressive stress impact mammalian follicle development,"Maturation of functional eggs in mammalian follicles is crucial for ovarian physiology. Here, Biswas et al. report that compressive stress by contractile theca cells or extrinsic perturbations can impact overall follicle mechanics, somatic cell signalling and…",negative,0.99983954,1.456343e-06,0.00015899094,https://www.nature.com/articles/s41467-025-65390-y
TCS,2025-10-30T19:09:56Z,"4,100-Mile 2017 Subaru WRX STi Track Car","This 2017 Subaru WRX STi track car was purchased new by the seller and now has 4,100 miles. Finished in Crystal White Pearl, the car is powered by a turbocharged 2.5-liter flat-four linked with a six-speed manual transaxle, a Driver-Controlled Center Differen…",negative,0.99999535,2.9667528e-06,1.6290032e-06,https://bringatrailer.com/listing/2017-subaru-wrx-sti-30/
TCS,2025-10-30T16:06:01Z,Here are all the celebrities and influencers running the NYC Marathon this weekend,A ton of other celebrities and influencers are also participating. Check out the full list.,negative,0.99998844,3.310952e-06,8.210815e-06,https://www.timeout.com/newyork/news/here-are-all-the-celebrities-and-influencers-running-the-nyc-marathon-this-weekend-103025
TCS,2025-10-30T13:51:48Z,Promise of valuation parity with peers drawing Cognizant to Indian exchanges,"Cognizant, which derives nearly three-fourths of its revenue from North America, the prospect of investors assigning it a higher valuation than its homegrown peers is a compelling one.",neutral,8.506679e-08,0.9999999,3.1190694e-08,https://www.livemint.com/companies/cognizant-india-listing-ipo-higher-valuations-market-capital-attraction-11761810505709.html
TCS,2025-10-30T13:03:22Z,"Samsung Galaxy Watch 7 Drops Below Black Friday Pricing, Guess They’re Cheering for NYC Marathon Runners","Save as much as 20% on the Samsung Galaxy Watch 7 for a limited time at Amazon.
The post Samsung Galaxy Watch 7 Drops Below Black Friday Pricing, Guess They’re Cheering for NYC Marathon Runners appeared first on Kotaku.",negative,0.96352226,0.0010960572,0.03538167,https://kotaku.com/samsung-galaxy-watch-7-drops-below-black-friday-pricing-guess-theyre-cheering-for-nyc-marathon-runners-2000635396
TCS,2025-10-30T10:00:00Z,I struggled to speak because of autism — now I’m finishing my MBA and running the NYC marathon,"""With a bit of hard work and dedication,"" Evan Mansfield, 23, told The Post, ""anything is possible.""",negative,0.9888552,0.0044155098,0.0067293653,https://nypost.com/2025/10/30/health/irishman-with-autism-finishing-mba-running-nyc-marathon/
TCS,2025-10-30T09:36:45Z,MTF - A bull market tool gaining momentum; yet a fraction of the global market,"Margin Trading Facility (MTF) is gaining traction in India, with its book growing to ₹1 trillion, driven by discount brokers and competitive interest rates. While offering controlled leverage and stock ownership, MTF remains a fraction of the market, indicati…",neutral,3.8706682e-09,1.0,2.3814404e-09,https://economictimes.indiatimes.com/markets/stocks/news/mtf-a-bull-market-tool-gaining-momentum-yet-a-fraction-of-the-global-market/articleshow/124943017.cms
TCS,2025-10-30T04:32:50Z,"Infosys, Wipro, other IT stocks fall as US Fed says December rate cut is far from guaranteed","Indian IT stocks dipped on Thursday after the US Federal Reserve signaled that a December rate cut was not guaranteed. While the Fed delivered a 25 basis point cut on Wednesday, Chair Powell's cautious tone tempered market expectations. Cognizant's raised rev…",positive,0.00055783533,0.002295968,0.9971462,https://economictimes.indiatimes.com/markets/stocks/news/infosys-wipro-other-it-stocks-fall-as-us-fed-says-december-rate-cut-is-far-from-guaranteed/articleshow/124933610.cms
TCS,2025-10-30T04:07:04Z,"2026 Subaru Forester launched in Malaysia – 2.5i-S EyeSight fr RM221,500; CBU Japan; 185 PS 2.5L boxer","Following the start of order taking in September this year, the sixth-generation Subaru Forester has now officially gone on sale in Malaysia – the SUV was first revealed globally back in November 2023. We’re getting […]
The post 2026 Subaru Forester launched …",negative,0.99995244,4.1865165e-05,5.7073967e-06,https://paultan.org/2025/10/30/2026-subaru-forester-launched-in-malaysia/
TCS,2025-10-30T00:30:00Z,"Day Trading Guide for October 30, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI",negative,0.9999883,7.046012e-06,4.6403093e-06,https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-october-30/article70216906.ece
TCS,2025-10-29T15:52:23Z,Why layoffs are bad not just for the laid off,"India's tech sector faces a concerning trend of silent layoffs, potentially impacting over 50,000 jobs this year, alongside overt dismissals. This slowdown risks India's consumption-driven economy, as IT employees are key consumers. While AI poses job displac…",positive,1.831702e-05,5.8477303e-06,0.9999758,https://economictimes.indiatimes.com/news/economy/indicators/why-layoffs-are-bad-not-just-for-the-laid-off/articleshow/124908580.cms
TCS,2025-10-29T15:44:19Z,"Cognizant plans India IPO, listing to make it India's 2nd largest IT company","For now, only Bengaluru-based IT titans Infosys Ltd and Wipro Ltd have their shares listed in both the US and India, and an India listing would make Cognizant the third.",negative,0.9976247,0.0023680686,7.26174e-06,https://www.livemint.com/companies/cognizant-india-listing-initial-public-offering-ipo-plans-stock-exchange-11761749243226.html
TCS,2025-10-29T15:08:42Z,BJP–Tipra Motha rift deepens as Central observers hold crucial meet in Agartala,"The Bharatiya Janata Party held a key meeting in Agartala with central observers. This comes amid a growing rift with alliance partner Tipra Motha Party. The BJP is also dealing with internal issues, including a show-cause notice to an MLA. Recent events have…",negative,0.99140984,6.679958e-05,0.008523456,https://economictimes.indiatimes.com/news/politics-and-nation/bjptipra-motha-rift-deepens-as-central-observers-hold-crucial-meet-in-agartala/articleshow/124907102.cms
TCS,2025-10-29T13:14:43Z,"Xi Jinping’s vision for an open, inclusive Asia-Pacific","BEIJING, Oct. 29 (Xinhua) — Amid mounting trade shocks and heightened geopolitical uncertainties, Chinese President Xi Jinping will join leaders […]
The post Xi Jinping’s vision for an open, inclusive Asia-Pacific appeared first on Peoples' Review.",negative,0.9998946,0.00010402653,1.316292e-06,https://mypeoplesreview.com/2025/10/29/xi-jinpings-vision-for-an-open-inclusive-asia-pacific/
TCS,2025-10-29T06:12:05Z,Jaguar Land Rover’s cyberattack holds an ominous lesson for British businesses,"The attack on Jaguar Land Rover could be the most economically damaging in UK history. Now, attention turns to what happens next.",positive,0.022177516,0.0002202472,0.9776022,https://www.cnbc.com/2025/10/29/jaguar-land-rover-cyberattack-holds-ominous-lesson-for-british-firms.html
TCS,2025-10-29T02:30:00Z,"Top Business & Market Headlines Today — BL Morning Report, Oct 29, 2025","BL Morning Report October 29, 2025: Get today’s top business news, market headlines about the Stock Market, Sensex & Nifty trends, key market insights, economic highlights, and the latest updates from India and global markets.",negative,0.99966776,0.00033005132,2.1310868e-06,https://www.thehindubusinessline.com/multimedia/audio/bl-morning-report-october-29-2025/article70212153.ece
TCS,2025-10-29T00:33:28Z,Tata Group - the divided empire facing boardroom drama,A boardroom power battle has exposed internal rifts as the Indian conglomerate faces business headwinds.,positive,1.0780163e-07,4.086021e-07,0.9999995,https://www.bbc.com/news/articles/c4gwejdzgzwo
TCS,2025-10-28T21:49:46Z,Watch: NYC Marathon Documentary '26.2: Journey to the Finish Line',"""Savor every minute of this journey."" Tribeca Films has just debuted a new documentary film titled 26.2, made by filmmaker Nicolas Heller – best known as the runner ""New York Nico"" on social media. The full title for it is Journey to the Finish Line of the NY…",negative,0.99999666,3.1535187e-06,1.8773025e-07,https://www.firstshowing.net/2025/watch-nyc-marathon-documentary-26-2-journey-to-the-finish-line/
TCS,2025-10-28T18:20:04Z,"India's data centre capacity to double by 2027, may rise 5x by 2030: Macquarie Equity Research",India's data centre capacity is set for significant growth. Projections indicate a doubling by 2027 and a potential fivefold increase by 2030. This expansion is driven by factors like data localisation laws and rising cloud adoption. Major investments are pla…,neutral,4.8084108e-05,0.99995184,8.366234e-08,https://economictimes.indiatimes.com/industry/services/property-/-cstruction/indias-data-centre-capacity-to-double-by-2027-may-rise-5x-by-2030-macquarie-equity-research/articleshow/124880411.cms
TCS,2025-10-28T18:04:28Z,"Amazon Cuts 14,000 Jobs Amid AI Push","The company reportedly plans on laying off up to 30,000 workers.",negative,0.9999219,1.2637803e-05,6.542231e-05,https://www.cnet.com/tech/services-and-software/amazon-cuts-14000-jobs-amid-ai-push/
TCS,2025-10-28T14:37:28Z,M&S drops TCS IT service desk contract following devastating cyberattack,"The IT firm was not the source of the breach, but it’s been replaced nonetheless.",positive,9.4148185e-05,0.00034842093,0.99955744,https://www.techradar.com/pro/security/m-and-s-drops-tcs-it-service-desk-contract-following-devastating-cyberattack
TCS,2025-10-28T14:33:22Z,AI-first startups to drive India’s $400 billion tech services boom: Bessemer Venture Partners,"The venture firm believes this next phase of growth will be defined by AI-first startups, which are reshaping traditional outsourcing models through automation, domain expertise, and outcome-led delivery.",neutral,0.0016789893,0.998319,2.0394448e-06,https://www.thehindubusinessline.com/info-tech/ai-first-startups-to-drive-indias-400-billion-tech-services-boom-bessemer-venture-partners/article70213080.ece
