symbol,publishedAt,title,description,sentiment,neg,neu,pos,url
TECHM,2025-10-29T08:51:00Z,Tech Mahindra selects Falcon for cloud infrastructure,"Falcon, one of India’s fastest-growing cloud-native fintech infrastructure companies, today announced a partnership with Tech Mahindra (NSE: TECHM), a leading global provider of technology consulting and digital solutions to enterprises across industries.",negative,0.9104295,0.08951534,5.517127e-05,https://www.finextra.com/pressarticle/107733/tech-mahindra-selects-falcon-for-cloud-infrastructure
TECHM,2025-10-25T15:17:07Z,"Today's college football schedule for Top 25, Big 12","A look at what games in the top 15 and Big 12 there are today, and where you can watch them.",negative,0.99999976,1.1649487e-08,2.6276032e-07,https://cardswire.usatoday.com/story/sports/nfl/cardinals/2025/10/25/top-25-and-big-12-college-football-schedule-tv/86898893007/
TECHM,2025-10-22T14:19:15Z,Tech Mahindra on track to improve margin but macro challenges linger,"Tech Mahindra shares have fallen nearly 10% in five sessions despite better-than-expected Q2 results. Analysts trimmed FY26–FY27 earnings and target prices amid delays in project ramp-ups, weak client spending, and global policy uncertainty impacting near-ter…",positive,9.399787e-08,4.7297976e-06,0.99999523,https://economictimes.indiatimes.com/markets/stocks/news/tech-mahindra-on-track-to-improve-margin-but-macro-challenges-linger/articleshow/124742848.cms
TECHM,2025-10-15T11:36:55Z,Broker’s call: Tech Mahindra (Buy),"Tech Mahindra reports revenue growth, margin expansion, and strong deal momentum, maintaining a Buy Rating with a target of ₹1,693.",neutral,1.03863e-08,1.0,1.6711107e-08,https://www.thehindubusinessline.com/markets/brokers-call-tech-mahindra-buy/article70166774.ece
TECHM,2025-10-15T00:51:48Z,TechM revenue dips 0.2% to $1.5bn in Q2,India Business News: Bengaluru: Tech Mahindra reported a 1.6% sequential revenue growth in constant currency in the Sept quarter but saw a 0.3% declineas compared to the c.,positive,5.4800585e-05,2.0612893e-05,0.99992454,https://timesofindia.indiatimes.com/business/india-business/techm-revenue-dips-0-2-to-1-5bn-in-q2/articleshow/124565227.cms
TECHM,2025-10-15T00:30:00Z,"Tech Mahindra Q2 net profit falls 4.5% to 1,195 crore on higher staff costs","TechM posted a net profit of Rs 1,195 crore for the three-month period ended September 30. Its year-earlier results included gains from land sales. Revenue for the fifth largest Indian IT services firm rose 4.8% on year and 5.1% quarter-on-quarter (QoQ) to Rs…",neutral,1.1501447e-05,0.99997103,1.753345e-05,https://economictimes.indiatimes.com/tech/information-tech/tech-mahindra-q2-net-profit-falls-4-5-to-1195-crore-on-higher-staff-costs/articleshow/124558396.cms
TECHM,2025-10-14T13:31:03Z,"Tech Mahindra Q2 net profit down, revenue grows 5%","Tech Mahindra's Q2 results show profit and revenue growth, driven by IT and BPS sectors, with focus on AI innovation.",neutral,1.3951658e-05,0.9999794,6.628519e-06,https://www.thehindubusinessline.com/companies/tech-mahindra-q2-net-profit-down-revenue-grows-5-per-cent/article70162951.ece
TECHM,2025-10-14T13:31:03Z,"Tech Mahindra Q2 net profit down, revenue grows 5%","Tech Mahindra's Q2 results show profit and revenue growth, driven by IT and BPS sectors, with focus on AI innovation.",neutral,1.3951658e-05,0.9999794,6.628519e-06,https://www.thehindubusinessline.com/info-tech/tech-mahindra-q2-net-profit-down-revenue-grows-5-per-cent/article70162951.ece
TECHM,2025-10-14T13:05:37Z,"Tech Mahindra Q2 Results: Cons PAT falls 4.4% YoY to Rs 1,194 crore, revenue rises 5%","Tech Mahindra on Tuesday reported a 4.4% YoY fall in its Q2 net profit at Rs 1,194 crore versus Rs 1,250 crore in the year ago period. The profit after tax (PAT) is attributable to the owners of the company.",positive,0.10423657,0.008405384,0.887358,https://economictimes.indiatimes.com/markets/stocks/earnings/tech-mahindra-q2-results-cons-pat-falls-4-4-yoy-to-rs-1194-crore-revenue-rises-5/articleshow/124553236.cms
TECHM,2025-10-13T03:11:08Z,"Q2 Results Highlights Today: HCL Tech, Anand Rathi Wealth, Just Dial Q2 results today, DMart, Waaree Renewable shares in focus","Q2 Results 13th October, 2025 highlights: Find all the latest Q2 results 2025 updates of HCL Technologies, Anand Rathi Wealth, Just Dial, Indo Thai Securities, SG FINSERVE, Den Networks, Lotus Chocolate Company, Indbank Merchant Banking Services, Gujarat Hote…",negative,0.9998679,0.00013182795,2.196772e-07,https://www.thehindubusinessline.com/markets/stock-markets/q2-results-highlights-hcl-technologies-anand-rathi-wealth-just-dial-indo-thai-securities-den-networks-lotus-chocolate-company-dmart-waaree-13-october-2025/article70157209.ece
TECHM,2025-10-08T08:06:47Z,"Boomi Agentstudio Achieves Rapid Adoption, Solidifying Boomi Enterprise Platform as Choice for Agentic AI at Scale","Customers including Lexitas, SPIE, and Avalara are among the organizations already exploring the possibilities of Boomi Agentstudio, fueling momentum that has driven more than 50,000 AI agents into production worldwide CONSHOHOCKEN, Pa. — Boomi™, the leader i…",neutral,6.4240076e-08,0.9999999,3.1104314e-08,https://financialpost.com/pmn/business-wire-news-releases-pmn/boomi-agentstudio-achieves-rapid-adoption-solidifying-boomi-enterprise-platform-as-choice-for-agentic-ai-at-scale
