node,node_idx,is_company,anomaly_score
HINDUNILVR,751,1,1.0
BAJFINANCE,744,1,0.8672014746565907
Nimisha Bajaj Family Trust,2,0,0.8268519543217734
Kumud Bajaj,5,0,0.8268519543217734
Late Madhur Bajaj,6,0,0.8268519543217734
Neelima Bajaj Family Trust,1,0,0.8268519543217734
JSWSTEEL,754,1,0.7659445028999137
LT,756,1,0.7659445028999137
TATACONSUM,760,1,0.7595447179864847
DRREDDY,747,1,0.7579867154428723
KOTAKBANK,755,1,0.7509375627183478
JIOFIN,753,1,0.7418050504418305
BAJAJFINSV,743,1,0.7304632414224526
CIPLA,746,1,0.6852433309449851
SHRIRAMFIN,759,1,0.6852433309449851
TITAN,762,1,0.6852433309449851
RELIANCE,757,1,0.6852433309449851
RAJNIKANT A. SHAH,598,0,0.6703727672259594
Ravi Shankar,569,0,0.6703727672259594
RIYA VARMA,594,0,0.6703727672259594
BHARTI AIRTEL EMPLOYEES WELFARE TRUST,43,0,0.6703727672259594
HDFCBANK,750,1,0.6702318895505781
GRASIM,748,1,0.6439837413704408
TRENT,763,1,0.6330161068849309
BHARTIARTL,745,1,0.6330161068849309
TECHM,761,1,0.6330161068849309
SBIN,758,1,0.6330161068849309
ULTRACEMCO,764,1,0.6144008829447525
Birla Group Holdings Private Limited,72,0,0.6105894280397247
Advaitesha Birla,71,0,0.5941876050165668
INFY,752,1,0.5220126301782377
-,164,0,0.5214864427155819
Sandeep Kumar,175,0,0.5130020256463281
Sikka Ports & Terminals Limited,502,0,0.5006780333814088
Anuradha Sethuraman,503,0,0.5006780333814088
Leema Kuriyakku Tharakan,504,0,0.5006780333814088
Jamnagar Utilities & Power Private Limited,501,0,0.5006780333814088
Pooja Kalani,40,0,0.484034333165004
Maharashtra Scooters Limited,42,0,0.484034333165004
Bajaj Finserv Limited,41,0,0.484034333165004
Bajaj Allianz General Insurance Co. Ltd.,35,0,0.484034333165004
Bajaj Allianz Life Insurance Co. Ltd.,39,0,0.484034333165004
Amisha Jain,37,0,0.484034333165004
RAJEEV JAIN,38,0,0.484034333165004
BFL EMPLOYEE WELFARE TRUST,36,0,0.484034333165004
Madhur Bajaj (A/c Kumud Neelima Family Trust),33,0,0.484034333165004
Madhur Bajaj (A/c Kumud Nimisha Family Trust),34,0,0.484034333165004
HCLTECH,749,1,0.48216438502399694
Shobha Agarwal,566,0,0.4382942584752696
Vrunda Bhaskar,597,0,0.4382942584752696
Bhaskar Bhat,596,0,0.4382942584752696
Shriram Ownership Trust,572,0,0.4382942584752696
TITAN EMPLOYEE STOCK OPTION TRUST,595,0,0.4382942584752696
SHOBHA AGARWAL,567,0,0.4382942584752696
Shriram Value Services Limited,570,0,0.4382942584752696
Sanlam Life Insurance Limited,571,0,0.4382942584752696
Anusha Jain jointly with Dinesh Jain,44,0,0.4382942584752696
Renu Jain jointly with Dinesh Jain,45,0,0.4382942584752696
Anusha Jain,46,0,0.4382942584752696
DIPALI AJAY KEER,568,0,0.4382942584752696
GERARD ANTHUAN FRANCIS IRUDAYARAJ,390,0,0.38755480571332723
Tasnim Mazher Topiwala,388,0,0.38755480571332723
Mazher Topiwala,389,0,0.38755480571332723
Sairam Subramanian,392,0,0.38755480571332723
Padma Sanzgiri,391,0,0.38755480571332723
R Sindhu,393,0,0.38755480571332723
Seetharam NP,394,0,0.38755480571332723
Amit Dhoot,395,0,0.38755480571332723
Deepa Dey,396,0,0.38755480571332723
Gajendra Pal Singh,397,0,0.38755480571332723
WIPRO,765,1,0.3767601468948236
Kumud Neelima Family Trust,0,0,0.15700816331677592
Madhur Securities Private Limited,27,0,0.15700816331677592
Madhur Bajaj,18,0,0.15700816331677592
Niraj Bajaj,31,0,0.15700816331677592
Shekhar Holdings Private Limited,30,0,0.15700816331677592
Rahul Securities Private Limited,29,0,0.15700816331677592
Rupa Equities Private Limited,28,0,0.15700816331677592
Bajaj Sevashram Private Limited,32,0,0.15700816331677592
Nirvaan Family Trust Sunaina Kejriwal,26,0,0.15700816331677592
Kamalnayan Investment & Trading Private Limited,25,0,0.15700816331677592
Aryaman Family Trust Manish Kejriwal,24,0,0.15700816331677592
Rishab Family Trust Rajivnayan Bajaj,23,0,0.15700816331677592
Bachhraj and Company Private Limited,21,0,0.15700816331677592
Deepa Bajaj,20,0,0.15700816331677592
Nimisha Jaipuria,19,0,0.15700816331677592
Rajivnayan Bajaj,22,0,0.15700816331677592
Bajaj Finserv ESOP Trust,17,0,0.15700816331677592
Late Sunaina Kejriwal,10,0,0.15700816331677592
Kumud Nimisha Family Trust,3,0,0.15700816331677592
Nirav Trust,4,0,0.15700816331677592
Aryaman Family Trust,16,0,0.15700816331677592
Jamnalal Sons Private Limited,8,0,0.15700816331677592
Manish Kejriwal,9,0,0.15700816331677592
Bajaj Holdings & Investment Limited,7,0,0.15700816331677592
Bachhraj & Company Private Limited,11,0,0.15700816331677592
Sheetal Bajaj,12,0,0.15700816331677592
Sarita Prakash,13,0,0.15700816331677592
Nirvaan Family Trust,14,0,0.15700816331677592
Sunaina Kejriwal,15,0,0.15700816331677592
Sujata Mishra,376,0,0.13791669677151808
Arvind Kapil,367,0,0.13791669677151808
Rajinder Babbar,368,0,0.13791669677151808
Benjamin Frank,369,0,0.13791669677151808
ARVIND KAPIL,370,0,0.13791669677151808
Vijay Mulbagal,371,0,0.13791669677151808
Santosh Haldankar,372,0,0.13791669677151808
Rinkoo Somani,373,0,0.13791669677151808
Snehal Rembalkar,374,0,0.13791669677151808
Deep Karani,375,0,0.13791669677151808
Kavita Patki,383,0,0.13791669677151808
Harsh Gupta,377,0,0.13791669677151808
Sandeep Jhawar,378,0,0.13791669677151808
Kiran Jhawar,379,0,0.13791669677151808
MULBAGAL VIJAYA KRISHNA,380,0,0.13791669677151808
Sandep Jhawar,381,0,0.13791669677151808
Nasir Khan,382,0,0.13791669677151808
NEETHI ROHIT,384,0,0.13791669677151808
ANKIT NITIN ANJARIA,385,0,0.13791669677151808
Rushabh Gala,386,0,0.13791669677151808
AUGUSTINE S QUADROS,366,0,0.13791669677151808
Augustine Quadros,352,0,0.13791669677151808
Ajay Kapoor,365,0,0.13791669677151808
HDFC ERGO General Insurance Company Limited,364,0,0.13791669677151808
Anita Iyer,345,0,0.13791669677151808
CHAKRAPANI VENKATACHARI,346,0,0.13791669677151808
Chakrapani Venkatachari,347,0,0.13791669677151808
Amit Jagdhari,348,0,0.13791669677151808
Sreedharan Mo,349,0,0.13791669677151808
Ashesh Kumar,350,0,0.13791669677151808
Sarika Mahajan,351,0,0.13791669677151808
Vaishali Vyas,343,0,0.13791669677151808
Mahak Garg,353,0,0.13791669677151808
SREEDHARAN M O,354,0,0.13791669677151808
Lopa Suresh Ruparel,355,0,0.13791669677151808
Anand Bhat,356,0,0.13791669677151808
Sharad Solanki,357,0,0.13791669677151808
Debajeet Das,358,0,0.13791669677151808
Sujatha Mohan,359,0,0.13791669677151808
Susanta Baishya,360,0,0.13791669677151808
LOPA RUPAREL,361,0,0.13791669677151808
Vikas Pandey,362,0,0.13791669677151808
Shriram Iyer,363,0,0.13791669677151808
Ankit Anjaria,387,0,0.13791669677151808
Lopa Ruparel,344,0,0.13791669677151808
IMRANKHAN BABU MAZHAR ALIKHAN,549,0,0.1007420247108407
JSW Steel Employees Welfare Trust ?  OPJ ESOP  Plan 2021 A/c,520,0,0.1007420247108407
