node,node_type,embedding_norm,anomaly_score,anomaly_percentile,high_risk
ULTRACEMCO,company,3.426029,1.0,1.0,1
GRASIM,company,1.6282315,0.9584402723238985,0.9986945169712794,1
Neelima Bajaj Family Trust,insider,2.3076706,0.9385273629436074,0.9934725848563969,1
Kumud Bajaj,insider,2.3076706,0.9385273629436074,0.9934725848563969,1
Late Madhur Bajaj,insider,2.3076706,0.9385273629436074,0.9934725848563969,1
Nimisha Bajaj Family Trust,insider,2.3076706,0.9385273629436074,0.9934725848563969,1
Birla Group Holdings Private Limited,insider,2.3076706,0.9385273629436074,0.9934725848563969,1
Sandeep Kumar,insider,2.3076706,0.9385273629436074,0.9934725848563969,1
-,insider,2.3076706,0.9385273629436074,0.9934725848563969,1
BAJFINANCE,company,0.7355369,0.9227987236242183,0.9882506527415144,1
BAJAJFINSV,company,0.2310865,0.849845397854722,0.9869451697127938,1
HINDUNILVR,company,0.1925874,0.8184219450115251,0.9856396866840731,1
TECHM,company,0.040576328,0.7646916325252335,0.9823759791122716,1
BHARTIARTL,company,0.040576328,0.7646916325252335,0.9823759791122716,1
SBIN,company,0.040576328,0.7646916325252335,0.9823759791122716,1
TRENT,company,0.040576328,0.7646916325252335,0.9823759791122716,1
SHRIRAMFIN,company,0.035744388,0.7326504438583894,0.9771540469973891,1
TITAN,company,0.035744388,0.7326504438583894,0.9771540469973891,1
CIPLA,company,0.035744388,0.7326504438583894,0.9771540469973891,1
RELIANCE,company,0.035744388,0.7326504438583894,0.9771540469973891,1
JIOFIN,company,0.037055198,0.7158223885215869,0.9738903394255874,1
WIPRO,company,0.035284117,0.6690920401498248,0.9686684073107049,1
TATACONSUM,company,0.035284113,0.6690920401498248,0.9686684073107049,1
JSWSTEEL,company,0.035284117,0.6690920401498248,0.9686684073107049,1
KOTAKBANK,company,0.03528412,0.6690920401498248,0.9686684073107049,1
DRREDDY,company,0.03528412,0.6690920401498248,0.9686684073107049,1
HDFCBANK,company,0.03528413,0.6690920401498248,0.9686684073107049,1
LT,company,0.035284117,0.6690920401498248,0.9686684073107049,1
INFY,company,0.015831336,0.4962132252799799,0.9634464751958225,1
HCLTECH,company,0.020064922,0.480395489644898,0.9621409921671018,1
Mayank Ranjan,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Venkat Ramesh Kumar Ghanta,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Chandra Ballabh,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Sarat Chand,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Trinankur Biswas,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Akhilesh Gupta,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Lester Lam,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Susanta Baishya,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
DAKSHINA MURTHY CHUNDURI,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Kumud Neelima Family Trust,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
KRISHNAMURTHY V G,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Deepa Dey,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Hitesh Dev,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Madhur Bajaj (A/c Kumud Nimisha Family Trust),insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Siki Giunta,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Saran Yellapantula,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Bhaskaran V,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Rahul Srivastava,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Benjamin D Wiener,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Brij Disa Parthav Trust,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
PRIYADARSHI ASHOK DAS,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Omkar Bhalchandra Nisal,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
John Roosenberg II,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
MEENA SUBRAHMANYAN,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Raghavan V Kidambi,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
RAJESH GUPTA,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Shrikanth Shetty,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Shriram Ownership Trust,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Ashesh Kumar,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Bhanu Prasad Narayana,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
RAHUL SOOD,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
KIRAN KUMAR TAPPITA,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Anup Dutta,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Shriram Value Services Limited,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Kaiwan Olia,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
Tasnim Mazher Topiwala,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
THIMMAIAH PANDANDA CHANGAPPA,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
RAJIV SHANKAR SHESH,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
DIPALI AJAY KEER,insider,0.030979484,2.048616712158058e-06,0.4810704960835509,0
